x,Nombre,Calorias,Carbohidratos,Proteinas,Grasas,lacteo,vegano,carne,pescado,marisco,fruta,vegetales,Legumbres,cereales,gluten,frutosSecos
Leche descremada en polvo,'Leche descremada en polvo',36,5.1,3.5,0.1,true,false,false,false,false,false,false,false,false,false,
Leche entera,'Leche entera',57,4.5,3,3,true,false,false,false,false,false,false,false,false,false,
Leche entera azucarada,'Leche entera azucarada',79,10,3,3,true,false,false,false,false,false,false,false,false,false,
Leche descremada,'Leche descremada',45,4.7,3.1,1.5,true,false,false,false,false,false,false,false,false,false,
Leche cultiv.descr.,'Leche cultiv.descr.',32,4.3,3.6,0.1,true,false,false,false,false,false,false,false,false,false,
Leche cultiv. entera/frutas,'Leche cultiv. entera/frutas',89,14,3.5,2.2,true,false,false,false,false,false,false,false,false,false,
Yogur con cereales,'Yogur con cereales',48,9,3,0.05,true,false,false,false,false,false,false,false,false,false,
Yogur con durazno,'Yogur con durazno',48,9,3,0.05,true,false,false,false,false,false,false,false,false,false,
Yogur con fibras y frutas,'Yogur con fibras y frutas',71,12.5,4.7,0.2,true,false,false,false,false,false,false,false,false,false,
Yogur con cereal azucar,'Yogur con cereal azucar',119,21,3.8,2.2,true,false,false,false,false,false,false,false,false,false,
Yogur descr. saborizado,'Yogur descr. saborizado',34.5,4.4,3.6,0.05,true,false,false,false,false,false,false,false,false,false,
Yogur descr. y All Bran,'Yogur descr. y All Bran',75,12.5,5.1,0.4,true,false,false,false,false,false,false,false,false,false,
Yogur descr. con frutas,'Yogur descr. con frutas',48,9,2.8,0.03,true,false,false,false,false,false,false,false,false,false,
Yogur descr. y corn flakes,'Yogur descr. y corn flakes',63,11.4,4.2,0.04,true,false,false,false,false,false,false,false,false,false,
Queso Philadelphia ligth,'Queso Philadelphia ligth',200,6.6,10,16.6,true,false,false,false,false,false,false,false,false,false,
Queso Blanco diet,'Queso Blanco diet',100,7.4,9.9,3.5,true,false,false,false,false,false,false,false,false,false,
Queso camembert0brie,'Queso camembert0brie',527,0,26.7,29.7,true,false,false,false,false,false,false,false,false,false,
Queso cheddar Argentino,'Queso cheddar Argentino',374,0,26,30,true,false,false,false,false,false,false,false,false,false,
Queso chubut,'Queso chubut',328,0,25.9,24.9,true,false,false,false,false,false,false,false,false,false,
Queso cottage,'Queso cottage',95,2,11.4,4.5,true,false,false,false,false,false,false,false,false,false,
Queso crema,'Queso crema',245,3.7,8.2,22,true,false,false,false,false,false,false,false,false,false,
