mealName,srcImg,kcal,carboHydrates,carboWithSugars,proteins,fats,saturatedFats,fiber,salt,LACTEO,VEGANO,CARNE,PESCADO,MARISCO,FRUTA,VEGETALES,LEGUMBRES,CEREALES,SEMILLAS,HUEVO,FRUTOS_SECOS,GLUTEN,ORIGEN_ANIMAL,DESAYUNO,MEDIO_DIA,ALMUERZO,MERIENDA,CENA,APERITIVOS,PRE_ENTRENO,APERITIVOS,GENERICO
nueces crudas,img_1,716,2.2,1.7,17,69.9,6,6.2,0,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
almendras crudas,img_2,603,5.4,5.4,25,51,3.9,11,0,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
pistachos tostados,img_3,616,11,11,21.6,52.5,6.5,11.4,0,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
pipas girasol tostadas,img_4,269,14,1.3,14,23,2.8,40,0,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true
anacardo crudo,img_5,604,19,7.7,21.9,48.2,8.2,3.6,0,false,true,false,false,false,false,false,true,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
avellana tostada,img_6,710,3,3,18,68,5.4,9.4,0,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
almendra tostada,img_7,628,3,1,23,57,4.8,11,0,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
cacahuete tostado,img_8,609,8.9,5.5,28,49,11,9.2,0,false,true,false,false,false,false,false,true,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
pipas de calabaza tostadas,img_9,575,13.9,1.1,33,42,8,5.3,0,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true
castannas tostadas,img_10,169,31,2.6,3.9,1.6,0.3,7.2,0,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
avelanas crudas,img_11,671,3.9,3.7,16,64,6.2,9.8,0,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
semillas de lino,img_12,541,5.1,1,23,43,3.8,21,0,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true
semillas de sesamo negro,img_13,573,23,0.3,18,47,7,12,0,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true
semillas de sesamo dorado,img_14,565,25.7,0.3,17,48,6.7,15,0,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,true,true,true,true,true,true
pistachos crudos,img_15,607,11.7,7.5,25,49.6,5.6,7.4,0,false,true,false,false,false,false,false,false,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
cacahuete extraproeico en polvo,img_16,416,21,10,46.7,13,2,1.7,13.3,0,false,true,false,false,false,false,false,true,false,false,false,true,false,false,true,true,true,true,true,true,true,true,true
arroz integral,img_17,347,71,1.2,8.4,2.5,0.5,3.4,0,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false
arroz blanco ,img_18,344,75,0.5,8.2,1,0.2,2,0,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,true
cous cous / semola de trigo,img_19,349,69,2.1,12,1.8,0.4,3,0,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,true,false,false,false,false
quinoa,img_20,389,66,6.3,14,6.1,0.78,7,0,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false
noodles de arroz,img_21,343,77,2,6.4,0.6,0.2,1.8,1,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,true,false,false,false,false
garbanzos,img_22,379,9.5,0.7,5.5,2.2,0.5,5.4,0.8,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
alubias blancas,img_23,339,12,0.6,5.3,0,0,3.1,0.5,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
alubias rojas,img_24,322,9.9,0,5.8,0,0,7.1,0.6,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
aubias pintas,img_25,368,16,1,0.94,5.6,0.6,0.37,5.2,0.6,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
lentejas padrinas,img_26,369,13,0,6.6,0,0,32,0.7,true,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
lentejas rojas,img_27,353,30,2,26,1.1,0.2,30.5,0.02,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
pasta  ,img_28,359,71,3.5,13,2,0.5,3,0.01,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false
pasta al huevo,img_29,359,68,3.5,12,3.3,1,4,0.08,false,false,false,false,false,false,false,false,true,false,true,false,true,true,false,false,true,false,false,false,false,false,false
pasta integral,img_30,347,67,3.2,12,1.9,0.4,7,0.05,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false
pasta sin gluten de maiz y arroz,img_31,355,76,0.7,7.3,2,0.7,2.5,0.01,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false
pasta con vegetales,img_32,359,74,3.1,12,1.7,0.3,5.2,0.04,false,true,false,false,false,false,false,false,true,false,false,false,true,false,false,false,true,false,false,false,false,false,false
pasta de lentejas,img_33,347,49,4.6,26,2.5,0.4,12,0.01,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false
pasta de trigo sarraceno sin gluten ,img_34,347,67,0.9,11,2.9,0.7,4.5,0.01,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false
compota de manzana,img_35,72,17,13,0.3,0,0,0.7,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,false,false
compota  de pera,img_36,55,12.2,11.1,0.5,0,0,0.6,0,false,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,false,false
cacao puro en polvo,img_37,375,16,0.7,26,16,10,32,0.03,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false
cacao puro desgrasado en polvo,img_38,345,18,1,27,11,7,33,0.05,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false
chocolate negro 85%,img_39,575,22,15,12,46,28,15,0,true,false,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,true,false,false,true,false,false
chocolate negro 70% sin azucares añadidos,img_40,481,34,0.5,11,36,23,12,0,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,true,false,false,true,false,false
chocolate negro 99%,img_41,610,8,1,15,54,34,16,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,false,true,false,false
crema de cacahuete 100%,img_42,612,16,4.1,30,49,12,9.4,0,false,true,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,true,true,true,false,true,true
pechuga de pavo,img_43,104,0,0,17.07,1,66,0.48,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
chuletas de pavo,img_44,149,0,0,20.1,7.6,2.7,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
solomillo de pavo,img_45,109,0,0,24.5,1.2,0.4,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
foie gras de pato,img_46,578,0.7,0.6,8.8,60,24,0,1.05,false,false,true,false,false,false,false,false,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false
codornices,img_47,149,0,0,21,7.3,1.7,0,0.16,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
magret de pato,img_48,363,2.5,0.5,14,33,11,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
pechuga de pollo,img_49,107,0.5,0,23.1,1.6,0.6,0,0.2,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
contramuslo de pollo,img_50,127,1.6,0,19,4.9,1.9,0,0.55,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
solomillo de pollo,img_51,108,0,0,22,1.8,0.5,0,0.2,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
alitas de pollo,img_52,155,0.6,0.1,19,8.5,2.7,0,0.6,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
higados de pollo,img_53,120,0,0,17,5.4,1.9,0,0.1,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
sangre de pollo,img_54,52,0.1,0,12,0.3,0.15,0,0,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
mollejas de pollo,img_55,79,0,0,16,1.8,0.6,0,0.2,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
costillas de cerdo,img_56,157,0,0,22,22,8.3,0,0.48,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
filetes lomo de cerdo,img_57,152,0,0,18,8.9,3.2,0,0.15,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
carrillada de cerdo,img_58,142,0,0,20,6.3,2.2,0,0.14,false,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,false,false
